Año,Mes,Día,Hora,Minuto,Segundo,Dato
2024,09,18,21,57,28,Movimiento Detectado
2024,09,18,21,57,31,Movimiento Detectado
2024,09,18,21,57,32,Movimiento Detectado
2024,09,18,21,57,37,Movimiento Detectado
2024,09,18,21,57,41,Movimiento Detectado
2024,09,18,21,57,42,Movimiento Detectado
2024,09,18,21,57,47,Movimiento Detectado
2024,09,18,21,57,56,Movimiento Detectado
2024,09,18,21,57,57,Movimiento Detectado
2024,09,18,21,58,01,Movimiento Detectado
2024,09,18,21,58,07,Movimiento Detectado
2024,09,18,21,58,13,Movimiento Detectado
2024,09,18,21,58,27,Movimiento Detectado
2024,09,18,21,59,03,Movimiento Detectado
2024,09,18,21,59,04,Movimiento Detectado
2024,09,18,21,59,09,Movimiento Detectado
2024,09,18,21,59,14,Movimiento Detectado
2024,09,18,21,59,15,Movimiento Detectado
2024,09,18,21,59,19,Movimiento Detectado
2024,09,18,21,59,23,Movimiento Detectado
2024,09,18,21,59,29,Movimiento Detectado
2024,09,18,21,59,34,Movimiento Detectado
2024,09,18,21,59,35,Movimiento Detectado
2024,09,18,21,59,38,Movimiento Detectado
2024,09,18,21,59,39,Movimiento Detectado
2024,09,18,21,59,44,Movimiento Detectado
2024,09,18,21,59,48,Movimiento Detectado
2024,09,18,21,59,49,Movimiento Detectado
2024,09,18,21,59,54,Movimiento Detectado
2024,09,18,21,59,55,Movimiento Detectado
2024,09,18,22,00,00,Movimiento Detectado
2024,09,18,22,00,06,Movimiento Detectado
2024,09,18,22,00,10,Movimiento Detectado
2024,09,18,22,00,15,Movimiento Detectado
2024,09,18,22,00,23,Movimiento Detectado
2024,09,18,22,00,27,Movimiento Detectado
2024,09,18,22,00,34,Movimiento Detectado
2024,09,18,22,00,57,Movimiento Detectado
2024,09,18,22,01,04,Movimiento Detectado
2024,09,18,22,01,05,Movimiento Detectado
2024,09,18,22,01,09,Movimiento Detectado
2024,09,18,22,01,10,Movimiento Detectado
2024,09,18,22,02,00,Movimiento Detectado
2024,09,18,22,02,09,Movimiento Detectado
2024,09,18,22,02,10,Movimiento Detectado
2024,09,18,22,02,15,Movimiento Detectado
2024,09,18,22,02,19,Movimiento Detectado
2024,09,18,22,02,20,Movimiento Detectado
2024,09,18,22,02,24,Movimiento Detectado
2024,09,18,22,02,30,Movimiento Detectado
2024,09,18,22,02,35,Movimiento Detectado
2024,09,18,22,02,39,Movimiento Detectado
2024,09,18,22,02,43,Movimiento Detectado
2024,09,18,22,02,47,Movimiento Detectado
2024,09,18,22,02,53,Movimiento Detectado
2024,09,18,22,02,55,Movimiento Detectado
2024,09,18,22,02,58,Movimiento Detectado
2024,09,18,22,02,59,Movimiento Detectado
2024,09,18,22,03,03,Movimiento Detectado
2024,09,18,22,03,07,Movimiento Detectado
2024,09,18,22,03,08,Movimiento Detectado
2024,09,18,22,03,12,Movimiento Detectado
2024,09,18,22,03,17,Movimiento Detectado
2024,09,18,22,03,18,Movimiento Detectado
2024,09,18,22,03,21,Movimiento Detectado
2024,09,18,22,03,22,Movimiento Detectado
2024,09,18,22,03,25,Movimiento Detectado
2024,09,18,22,03,26,Movimiento Detectado
2024,09,18,22,03,30,Movimiento Detectado
2024,09,18,22,03,34,Movimiento Detectado
2024,09,18,22,03,35,Movimiento Detectado
2024,09,18,22,03,39,Movimiento Detectado
2024,09,18,22,03,44,Movimiento Detectado
2024,09,18,22,03,45,Movimiento Detectado
2024,09,18,22,03,49,Movimiento Detectado
2024,09,18,22,03,53,Movimiento Detectado
2024,09,18,22,03,57,Movimiento Detectado
2024,09,18,22,04,02,Movimiento Detectado
2024,09,18,22,04,03,Movimiento Detectado
2024,09,18,22,04,06,Movimiento Detectado
2024,09,18,22,04,07,Movimiento Detectado
2024,09,18,22,04,12,Movimiento Detectado
2024,09,18,22,04,17,Movimiento Detectado
2024,09,18,22,04,18,Movimiento Detectado
2024,09,18,22,04,21,Movimiento Detectado
2024,09,18,22,04,25,Movimiento Detectado
2024,09,18,22,04,30,Movimiento Detectado
2024,09,18,22,04,35,Movimiento Detectado
2024,09,18,22,04,39,Movimiento Detectado
2024,09,18,22,04,40,Movimiento Detectado
2024,09,18,22,04,45,Movimiento Detectado
2024,09,18,22,04,49,Movimiento Detectado
2024,09,18,22,04,54,Movimiento Detectado
2024,09,18,22,05,02,Movimiento Detectado
2024,09,18,22,05,08,Movimiento Detectado
2024,09,18,22,05,12,Movimiento Detectado
2024,09,18,22,05,16,Movimiento Detectado
2024,09,18,22,05,17,Movimiento Detectado
2024,09,18,22,05,24,Movimiento Detectado
2024,09,18,22,05,28,Movimiento Detectado
2024,09,18,22,05,29,Movimiento Detectado
2024,09,18,22,05,32,Movimiento Detectado
2024,09,18,22,05,34,Movimiento Detectado
2024,09,18,22,05,38,Movimiento Detectado
2024,09,18,22,05,43,Movimiento Detectado
2024,09,18,22,05,48,Movimiento Detectado
2024,09,18,22,05,52,Movimiento Detectado
2024,09,18,22,05,53,Movimiento Detectado
2024,09,18,22,05,57,Movimiento Detectado
2024,09,18,22,06,01,Movimiento Detectado
2024,09,18,22,06,05,Movimiento Detectado
2024,09,18,22,06,10,Movimiento Detectado
2024,09,18,22,06,14,Movimiento Detectado
2024,09,18,22,06,20,Movimiento Detectado
2024,09,18,22,06,24,Movimiento Detectado
2024,09,18,22,06,28,Movimiento Detectado
2024,09,18,22,06,29,Movimiento Detectado
2024,09,18,22,06,32,Movimiento Detectado
2024,09,18,22,06,33,Movimiento Detectado
2024,09,18,22,06,37,Movimiento Detectado
2024,09,18,22,06,42,Movimiento Detectado
2024,09,18,22,06,43,Movimiento Detectado
2024,09,18,22,06,46,Movimiento Detectado
2024,09,18,22,06,47,Movimiento Detectado
2024,09,18,22,06,50,Movimiento Detectado
2024,09,18,22,06,51,Movimiento Detectado
2024,09,18,22,06,55,Movimiento Detectado
2024,09,18,22,06,58,Movimiento Detectado
2024,09,18,22,06,59,Movimiento Detectado
2024,09,18,22,07,04,Movimiento Detectado
2024,09,18,22,07,08,Movimiento Detectado
2024,09,18,22,07,13,Movimiento Detectado
2024,09,18,22,07,17,Movimiento Detectado
2024,09,18,22,07,21,Movimiento Detectado
2024,09,18,22,07,25,Movimiento Detectado
2024,09,18,22,07,26,Movimiento Detectado
2024,09,18,22,07,31,Movimiento Detectado
2024,09,18,22,07,32,Movimiento Detectado
2024,09,18,22,07,36,Movimiento Detectado
2024,09,18,22,07,40,Movimiento Detectado
2024,09,18,22,07,44,Movimiento Detectado
2024,09,18,22,07,48,Movimiento Detectado
2024,09,18,22,07,52,Movimiento Detectado
2024,09,18,22,07,57,Movimiento Detectado
2024,09,18,22,07,58,Movimiento Detectado
2024,09,18,22,08,01,Movimiento Detectado
2024,09,18,22,08,02,Movimiento Detectado
2024,09,18,22,08,07,Movimiento Detectado
2024,09,18,22,08,11,Movimiento Detectado
2024,09,18,22,08,12,Movimiento Detectado
2024,09,18,22,08,16,Movimiento Detectado
2024,09,18,22,08,20,Movimiento Detectado
2024,09,18,22,08,21,Movimiento Detectado
2024,09,18,22,08,24,Movimiento Detectado
2024,09,18,22,08,25,Movimiento Detectado
2024,09,18,22,08,28,Movimiento Detectado
2024,09,18,22,08,29,Movimiento Detectado
2024,09,18,22,08,40,Movimiento Detectado
2024,09,18,22,08,43,Movimiento Detectado
2024,09,18,22,08,44,Movimiento Detectado
2024,09,18,22,08,49,Movimiento Detectado
2024,09,18,22,08,56,Movimiento Detectado
2024,09,18,22,09,04,Movimiento Detectado
2024,09,18,22,09,08,Movimiento Detectado
2024,09,18,22,09,12,Movimiento Detectado
2024,09,18,22,09,17,Movimiento Detectado
2024,09,18,22,09,18,Movimiento Detectado
2024,09,18,22,09,24,Movimiento Detectado
2024,09,18,22,09,27,Movimiento Detectado
2024,09,18,22,09,28,Movimiento Detectado
2024,09,18,22,09,33,Movimiento Detectado
2024,09,18,22,09,38,Movimiento Detectado
2024,09,18,22,09,42,Movimiento Detectado
2024,09,18,22,09,47,Movimiento Detectado
2024,09,18,22,09,48,Movimiento Detectado
2024,09,18,22,09,52,Movimiento Detectado
2024,09,18,22,09,58,Movimiento Detectado
2024,09,18,22,10,02,Movimiento Detectado
2024,09,18,22,10,07,Movimiento Detectado
2024,09,18,22,10,08,Movimiento Detectado
2024,09,18,22,10,11,Movimiento Detectado
