Año,Mes,Dia,Hora,Minuto,Segundo,Dato
2024,09,18,17,58,15,Movimiento Detectado
2024,09,18,17,58,19,Movimiento Detectado
2024,09,18,17,58,23,Movimiento Detectado
2024,09,18,17,58,27,Movimiento Detectado
2024,09,18,17,58,32,Movimiento Detectado
2024,09,18,17,58,36,Movimiento Detectado
2024,09,18,17,58,40,Movimiento Detectado
2024,09,18,17,58,41,Movimiento Detectado
2024,09,18,17,58,45,Movimiento Detectado
2024,09,18,17,58,48,Movimiento Detectado
2024,09,18,17,58,49,Movimiento Detectado
2024,09,18,17,58,53,Movimiento Detectado
2024,09,18,17,58,54,Movimiento Detectado
2024,09,18,17,58,58,Movimiento Detectado
2024,09,18,17,59,02,Movimiento Detectado
2024,09,18,17,59,07,Movimiento Detectado
2024,09,18,17,59,12,Movimiento Detectado
2024,09,18,17,59,17,Movimiento Detectado
2024,09,18,17,59,25,Movimiento Detectado
2024,09,18,17,59,26,Movimiento Detectado
2024,09,18,17,59,29,Movimiento Detectado
2024,09,18,17,59,33,Movimiento Detectado
2024,09,18,17,59,34,Movimiento Detectado
2024,09,18,17,59,39,Movimiento Detectado
2024,09,18,17,59,43,Movimiento Detectado
2024,09,18,17,59,44,Movimiento Detectado
2024,09,18,17,59,48,Movimiento Detectado
2024,09,18,17,59,55,Movimiento Detectado
2024,09,18,17,59,59,Movimiento Detectado
2024,09,18,18,00,03,Movimiento Detectado
2024,09,18,18,00,04,Movimiento Detectado
2024,09,18,18,00,08,Movimiento Detectado
2024,09,18,18,00,09,Movimiento Detectado
2024,09,18,18,00,12,Movimiento Detectado
2024,09,18,18,00,17,Movimiento Detectado
2024,09,18,18,00,21,Movimiento Detectado
2024,09,18,18,00,22,Movimiento Detectado
2024,09,18,18,00,25,Movimiento Detectado
2024,09,18,18,00,30,Movimiento Detectado
2024,09,18,18,00,34,Movimiento Detectado
2024,09,18,18,00,39,Movimiento Detectado
2024,09,18,18,00,40,Movimiento Detectado
2024,09,18,18,00,44,Movimiento Detectado
2024,09,18,18,00,49,Movimiento Detectado
2024,09,18,18,00,50,Movimiento Detectado
2024,09,18,18,00,54,Movimiento Detectado
2024,09,18,18,00,55,Movimiento Detectado
2024,09,18,18,00,59,Movimiento Detectado
2024,09,18,18,01,03,Movimiento Detectado
2024,09,18,18,01,11,Movimiento Detectado
2024,09,18,18,01,15,Movimiento Detectado
2024,09,18,18,01,16,Movimiento Detectado
2024,09,18,18,01,20,Movimiento Detectado
2024,09,18,18,01,24,Movimiento Detectado
2024,09,18,18,01,29,Movimiento Detectado
2024,09,18,18,01,32,Movimiento Detectado
2024,09,18,18,01,33,Movimiento Detectado
2024,09,18,18,01,36,Movimiento Detectado
2024,09,18,18,01,37,Movimiento Detectado
2024,09,18,18,01,40,Movimiento Detectado
2024,09,18,18,01,45,Movimiento Detectado
2024,09,18,18,01,48,Movimiento Detectado
2024,09,18,18,01,49,Movimiento Detectado
2024,09,18,18,01,55,Movimiento Detectado
2024,09,18,18,02,02,Movimiento Detectado
2024,09,18,18,02,07,Movimiento Detectado
2024,09,18,18,02,08,Movimiento Detectado
2024,09,18,18,02,13,Movimiento Detectado
2024,09,18,18,02,22,Movimiento Detectado
2024,09,18,18,02,26,Movimiento Detectado
2024,09,18,18,02,32,Movimiento Detectado
2024,09,18,18,02,33,Movimiento Detectado
2024,09,18,18,02,36,Movimiento Detectado
2024,09,18,18,02,41,Movimiento Detectado
2024,09,18,18,02,45,Movimiento Detectado
2024,09,18,18,02,50,Movimiento Detectado
2024,09,18,18,02,51,Movimiento Detectado
2024,09,18,18,02,55,Movimiento Detectado
2024,09,18,18,02,59,Movimiento Detectado
2024,09,18,18,03,04,Movimiento Detectado
2024,09,18,18,03,05,Movimiento Detectado
2024,09,18,18,03,08,Movimiento Detectado
2024,09,18,18,03,16,Movimiento Detectado
2024,09,18,18,03,17,Movimiento Detectado
2024,09,18,18,03,21,Movimiento Detectado
2024,09,18,18,03,22,Movimiento Detectado
2024,09,18,18,03,27,Movimiento Detectado
2024,09,18,18,03,32,Movimiento Detectado
2024,09,18,18,03,36,Movimiento Detectado
2024,09,18,18,03,40,Movimiento Detectado
2024,09,18,18,03,53,Movimiento Detectado
2024,09,18,18,03,54,Movimiento Detectado
2024,09,18,18,03,59,Movimiento Detectado
2024,09,18,18,04,03,Movimiento Detectado
2024,09,18,18,04,07,Movimiento Detectado
2024,09,18,18,04,14,Movimiento Detectado
2024,09,18,18,04,19,Movimiento Detectado
2024,09,18,18,04,23,Movimiento Detectado
2024,09,18,18,04,26,Movimiento Detectado
2024,09,18,18,04,27,Movimiento Detectado
2024,09,18,18,04,49,Movimiento Detectado
2024,09,18,18,04,58,Movimiento Detectado
2024,09,18,18,04,59,Movimiento Detectado
2024,09,18,18,05,05,Movimiento Detectado
2024,09,18,18,05,09,Movimiento Detectado
2024,09,18,18,05,13,Movimiento Detectado
2024,09,18,18,05,18,Movimiento Detectado
2024,09,18,18,05,22,Movimiento Detectado
2024,09,18,18,05,28,Movimiento Detectado
2024,09,18,18,05,34,Movimiento Detectado
2024,09,18,18,05,39,Movimiento Detectado
2024,09,18,18,05,43,Movimiento Detectado
2024,09,18,18,05,47,Movimiento Detectado
2024,09,18,18,05,48,Movimiento Detectado
2024,09,18,18,05,58,Movimiento Detectado
2024,09,18,18,05,59,Movimiento Detectado
2024,09,18,18,06,02,Movimiento Detectado
2024,09,18,18,06,03,Movimiento Detectado
2024,09,18,18,06,07,Movimiento Detectado
2024,09,18,18,06,14,Movimiento Detectado
2024,09,18,18,06,21,Movimiento Detectado
2024,09,18,18,06,26,Movimiento Detectado
2024,09,18,18,06,33,Movimiento Detectado
2024,09,18,18,06,38,Movimiento Detectado
2024,09,18,18,06,42,Movimiento Detectado
2024,09,18,18,06,43,Movimiento Detectado
2024,09,18,18,06,48,Movimiento Detectado
2024,09,18,18,06,49,Movimiento Detectado
2024,09,18,18,07,03,Movimiento Detectado
2024,09,18,18,07,04,Movimiento Detectado
2024,09,18,18,07,08,Movimiento Detectado
2024,09,18,18,07,13,Movimiento Detectado
2024,09,18,18,07,17,Movimiento Detectado
2024,09,18,18,07,27,Movimiento Detectado
2024,09,18,18,07,30,Movimiento Detectado
2024,09,18,18,07,43,Movimiento Detectado
2024,09,18,18,07,47,Movimiento Detectado
2024,09,18,18,07,48,Movimiento Detectado
2024,09,18,18,07,53,Movimiento Detectado
2024,09,18,18,07,54,Movimiento Detectado
2024,09,18,18,07,57,Movimiento Detectado
2024,09,18,18,07,58,Movimiento Detectado
2024,09,18,18,08,04,Movimiento Detectado
2024,09,18,18,08,33,Movimiento Detectado
2024,09,18,18,08,34,Movimiento Detectado
2024,09,18,18,08,53,Movimiento Detectado
2024,09,18,18,08,57,Movimiento Detectado
2024,09,18,18,08,58,Movimiento Detectado
2024,09,18,18,09,04,Movimiento Detectado
2024,09,18,18,09,08,Movimiento Detectado
2024,09,18,18,09,09,Movimiento Detectado
2024,09,18,18,09,13,Movimiento Detectado
2024,09,18,18,09,17,Movimiento Detectado
2024,09,18,18,09,21,Movimiento Detectado
2024,09,18,18,09,25,Movimiento Detectado
2024,09,18,18,09,31,Movimiento Detectado
2024,09,18,18,09,37,Movimiento Detectado
2024,09,18,18,09,38,Movimiento Detectado
2024,09,18,18,09,42,Movimiento Detectado
2024,09,18,18,09,43,Movimiento Detectado
2024,09,18,18,09,47,Movimiento Detectado
2024,09,18,18,09,48,Movimiento Detectado
2024,09,18,18,09,51,Movimiento Detectado
2024,09,18,18,09,57,Movimiento Detectado
2024,09,18,18,10,02,Movimiento Detectado
2024,09,18,18,10,11,Movimiento Detectado
2024,09,18,18,10,16,Movimiento Detectado
2024,09,18,18,10,20,Movimiento Detectado
2024,09,18,18,10,25,Movimiento Detectado
2024,09,18,18,10,26,Movimiento Detectado
2024,09,18,18,10,32,Movimiento Detectado
2024,09,18,18,10,36,Movimiento Detectado
2024,09,18,18,10,40,Movimiento Detectado
2024,09,18,18,10,45,Movimiento Detectado
2024,09,18,18,10,49,Movimiento Detectado
2024,09,18,18,10,50,Movimiento Detectado
